period,ratio,title
2023-05-28,0.09675,CR
2023-05-29,0.10244,CR
2023-05-30,0.0626,CR
2023-05-31,0.0626,CR
2023-06-03,0.07398,CR
2023-06-05,0.05691,CR
2023-06-06,0.0626,CR
2023-06-07,0.11383,CR
2023-06-09,0.02845,CR
2023-06-10,0.04553,CR
2023-06-11,0.10244,CR
2023-06-12,0.09106,CR
2023-06-13,0.05691,CR
2023-06-14,0.03414,CR
2023-06-15,0.05122,CR
2023-06-16,0.05122,CR
2023-06-17,0.05122,CR
2023-06-18,0.08537,CR
2023-06-19,0.07398,CR
2023-06-20,0.05691,CR
2023-06-22,0.05122,CR
2023-06-23,0.11952,CR
2023-06-24,0.06829,CR
2023-06-25,0.12521,CR
2023-06-26,0.11383,CR
2023-06-27,0.11952,CR
2023-06-28,0.10244,CR
2023-06-29,0.02845,CR
2023-06-30,0.0626,CR
2023-01-01,4.01252,JS
2023-01-02,3.40922,JS
2023-01-03,2.9482,JS
2023-01-04,3.07342,JS
2023-01-05,3.27831,JS
2023-01-06,3.31815,JS
2023-01-07,3.47751,JS
2023-01-08,2.98235,JS
2023-01-09,3.60842,JS
2023-01-10,3.13602,JS
2023-01-11,3.22709,JS
2023-01-12,3.02219,JS
2023-01-13,3.46044,JS
2023-01-14,3.32953,JS
2023-01-15,3.02788,JS
2023-01-16,2.69208,JS
2023-01-17,2.53841,JS
2023-01-18,2.75469,JS
2023-01-19,2.98804,JS
2023-01-20,3.00512,JS
2023-01-21,2.93682,JS
2023-01-22,2.49857,JS
2023-01-23,2.71485,JS
2023-01-24,3.02219,JS
2023-01-25,2.749,JS
2023-01-26,3.26693,JS
2023-01-27,3.15879,JS
2023-01-28,3.07911,JS
2023-01-29,3.79624,JS
2023-01-30,2.78884,JS
2023-01-31,2.8799,JS
2023-02-01,2.90836,JS
2023-02-02,2.86852,JS
2023-02-03,2.90267,JS
2023-02-04,5.04268,JS
2023-02-05,8.19578,JS
2023-02-06,2.71485,JS
2023-02-07,2.29368,JS
2023-02-08,2.02048,JS
2023-02-09,1.95788,JS
2023-02-10,2.20261,JS
2023-02-11,2.09447,JS
2023-02-12,2.10017,JS
2023-02-13,2.79453,JS
2023-02-14,2.31075,JS
2023-02-15,2.12293,JS
