period,ratio,title
2023-04-12,10.74469,NEWJEANS
2023-04-13,10.55927,NEWJEANS
2023-04-14,10.94559,NEWJEANS
2023-04-15,12.38492,NEWJEANS
2023-04-16,12.12566,NEWJEANS
2023-04-17,9.45374,NEWJEANS
2023-04-18,9.43578,NEWJEANS
2023-04-19,8.44225,NEWJEANS
2023-04-20,8.57649,NEWJEANS
2023-04-21,8.96214,NEWJEANS
2023-04-22,10.37812,NEWJEANS
2023-04-23,9.45396,NEWJEANS
2023-04-24,7.75132,NEWJEANS
2023-04-25,8.21464,NEWJEANS
2023-04-26,9.44072,NEWJEANS
2023-04-27,9.18773,NEWJEANS
2023-04-28,9.77339,NEWJEANS
2023-04-29,11.09262,NEWJEANS
2023-04-30,10.39608,NEWJEANS
2023-05-01,8.42879,NEWJEANS
2023-05-02,8.60657,NEWJEANS
2023-05-03,8.78884,NEWJEANS
2023-05-04,7.99286,NEWJEANS
2023-05-05,9.86048,NEWJEANS
2023-05-06,9.95207,NEWJEANS
2023-05-07,10.96153,NEWJEANS
2023-05-08,8.31722,NEWJEANS
2023-05-09,7.72034,NEWJEANS
2023-05-10,7.84493,NEWJEANS
2023-05-11,7.53224,NEWJEANS
2023-05-12,8.97134,NEWJEANS
2023-05-13,10.08047,NEWJEANS
2023-05-14,9.03868,NEWJEANS
2023-05-15,8.56302,NEWJEANS
2023-05-16,8.20701,NEWJEANS
2023-05-17,10.94335,NEWJEANS
2023-05-18,10.32784,NEWJEANS
2023-05-19,9.74937,NEWJEANS
2023-05-20,11.74091,NEWJEANS
2023-05-21,10.71416,NEWJEANS
2023-05-22,8.97201,NEWJEANS
2023-05-23,8.90041,NEWJEANS
2023-05-24,7.93539,NEWJEANS
2023-05-25,8.10756,NEWJEANS
2023-05-26,7.67253,NEWJEANS
2023-05-27,8.67683,NEWJEANS
2023-05-28,8.58165,NEWJEANS
2023-05-29,7.41259,NEWJEANS
2023-05-30,6.44106,NEWJEANS
2023-05-31,6.74119,NEWJEANS
2023-06-01,6.38472,NEWJEANS
2023-06-02,7.00203,NEWJEANS
2023-06-03,8.26896,NEWJEANS
2023-06-04,8.0189,NEWJEANS
2023-06-05,6.98586,NEWJEANS
2023-06-06,7.39957,NEWJEANS
2023-06-07,6.21524,NEWJEANS
2023-06-08,6.22422,NEWJEANS
2023-06-09,6.64242,NEWJEANS
2023-06-10,8.19286,NEWJEANS
2023-06-11,7.74032,NEWJEANS
2023-06-12,7.15983,NEWJEANS
2023-06-13,6.32771,NEWJEANS
2023-06-14,6.35352,NEWJEANS
2023-06-15,6.28438,NEWJEANS
2023-06-16,6.57059,NEWJEANS
2023-06-17,7.41618,NEWJEANS
2023-06-18,6.81841,NEWJEANS
2023-06-19,7.63078,NEWJEANS
2023-06-20,7.08418,NEWJEANS
2023-06-21,6.7587,NEWJEANS
2023-06-22,6.3304,NEWJEANS
2023-06-23,6.76565,NEWJEANS
2023-06-24,7.4099,NEWJEANS
2023-06-25,7.65031,NEWJEANS
2023-06-26,6.80135,NEWJEANS
2023-06-27,9.13611,NEWJEANS
2023-06-28,9.82457,NEWJEANS
2023-06-29,8.67795,NEWJEANS
2023-06-30,8.6995,NEWJEANS
2023-01-01,11.01428,BTS
2023-01-02,9.41513,BTS
2023-01-03,9.03891,BTS
2023-01-04,9.35609,BTS
2023-01-05,9.54869,BTS
2023-01-06,10.01223,BTS
2023-01-07,11.46525,BTS
2023-01-08,11.828,BTS
2023-01-09,9.21826,BTS
2023-01-10,9.50402,BTS
2023-01-11,9.4149,BTS
2023-01-12,9.26248,BTS
2023-01-13,11.73103,BTS
2023-01-14,12.01993,BTS
2023-01-15,12.24777,BTS
2023-01-16,10.57925,BTS
2023-01-17,10.14579,BTS
2023-01-18,11.69938,BTS
2023-01-19,10.78801,BTS
2023-01-20,10.38351,BTS
2023-01-21,12.6525,BTS
2023-01-22,11.74585,BTS
2023-01-23,10.92808,BTS
2023-01-24,10.83897,BTS
2023-01-25,9.51816,BTS
2023-01-26,9.2984,BTS
2023-01-27,10.8145,BTS
2023-01-28,10.2908,BTS
2023-01-29,10.19562,BTS
2023-01-30,9.63444,BTS
2023-01-31,9.28426,BTS
2023-02-01,9.15653,BTS
2023-02-02,10.19607,BTS
2023-02-03,10.964,BTS
2023-02-04,10.80866,BTS
2023-02-05,9.90695,BTS
2023-02-06,13.9237,BTS
2023-02-07,9.73657,BTS
2023-02-08,8.9893,BTS
2023-02-09,8.88851,BTS
2023-02-10,13.89833,BTS
2023-02-11,11.63383,BTS
2023-02-12,9.95566,BTS
2023-02-13,9.58685,BTS
2023-02-14,12.64487,BTS
2023-02-15,11.32338,BTS
2023-02-16,9.50267,BTS
2023-02-17,10.42594,BTS
2023-02-18,11.10362,BTS
2023-02-19,9.83175,BTS
