period,ratio,title
2023-04-24,3.53311,AESPA
2023-04-25,3.18711,AESPA
2023-04-26,3.16457,AESPA
2023-04-27,3.92796,AESPA
2023-04-28,3.44213,AESPA
2023-04-29,3.96009,AESPA
2023-04-30,4.13623,AESPA
2023-05-01,4.21553,AESPA
2023-05-02,6.74569,AESPA
2023-05-03,6.40969,AESPA
2023-05-04,5.07408,AESPA
2023-05-05,5.41508,AESPA
2023-05-06,5.48103,AESPA
2023-05-07,5.78738,AESPA
2023-05-08,18.49743,AESPA
2023-05-09,17.05288,AESPA
2023-05-10,12.53057,AESPA
2023-05-11,11.46625,AESPA
2023-05-12,17.10338,AESPA
2023-05-13,18.06586,AESPA
2023-05-14,15.0745,AESPA
2023-05-15,10.56596,AESPA
2023-05-16,10.18823,AESPA
2023-05-17,9.49079,AESPA
2023-05-18,13.7272,AESPA
2023-05-19,16.67974,AESPA
2023-05-20,18.24742,AESPA
2023-05-21,15.77194,AESPA
2023-05-22,18.3455,AESPA
2023-05-23,14.5511,AESPA
2023-05-24,12.0101,AESPA
2023-05-25,13.23385,AESPA
2023-05-26,11.99048,AESPA
2023-05-27,11.47543,AESPA
2023-05-28,10.88526,AESPA
2023-05-29,8.92733,AESPA
2023-05-30,6.76363,AESPA
2023-05-31,6.06911,AESPA
2023-06-01,7.10672,AESPA
2023-06-02,6.84586,AESPA
2023-06-03,8.05501,AESPA
2023-06-04,7.30748,AESPA
2023-06-05,6.0495,AESPA
2023-06-06,6.29617,AESPA
2023-06-07,7.67352,AESPA
2023-06-08,7.09336,AESPA
2023-06-09,8.76372,AESPA
2023-06-10,28.84928,AESPA
2023-06-11,18.71488,AESPA
2023-06-12,10.24416,AESPA
2023-06-13,6.92057,AESPA
2023-06-14,7.10296,AESPA
2023-06-15,8.38014,AESPA
2023-06-16,6.86756,AESPA
2023-06-17,8.9795,AESPA
2023-06-18,7.09754,AESPA
2023-06-19,5.86501,AESPA
2023-06-20,7.6297,AESPA
2023-06-21,8.4102,AESPA
2023-06-22,5.36666,AESPA
2023-06-23,5.90967,AESPA
2023-06-24,7.05747,AESPA
2023-06-25,7.34546,AESPA
2023-06-26,6.1121,AESPA
2023-06-27,5.31783,AESPA
2023-06-28,4.84536,AESPA
2023-06-29,4.342,AESPA
2023-06-30,4.43465,AESPA
2023-01-01,10.94786,NCT
2023-01-02,4.89085,NCT
2023-01-03,4.51187,NCT
2023-01-04,4.52731,NCT
2023-01-05,4.45093,NCT
2023-01-06,5.06156,NCT
2023-01-07,6.35669,NCT
2023-01-08,5.55615,NCT
2023-01-09,5.16632,NCT
2023-01-10,4.87749,NCT
2023-01-11,4.94511,NCT
2023-01-12,5.64213,NCT
2023-01-13,5.26482,NCT
2023-01-14,4.98476,NCT
2023-01-15,5.04111,NCT
2023-01-16,4.7072,NCT
2023-01-17,4.7335,NCT
2023-01-18,4.69886,NCT
2023-01-19,5.73104,NCT
2023-01-20,5.15923,NCT
2023-01-21,4.67548,NCT
2023-01-22,4.68341,NCT
2023-01-23,4.4789,NCT
2023-01-24,5.08744,NCT
2023-01-25,4.90629,NCT
2023-01-26,4.97933,NCT
2023-01-27,5.0457,NCT
2023-01-28,4.93259,NCT
2023-01-29,5.39713,NCT
