period,ratio,title
2023-05-28,3.46056,NM
2023-05-29,3.09798,NM
2023-05-30,2.46841,NM
2023-05-31,2.37145,NM
2023-06-01,2.35165,NM
2023-06-02,2.45134,NM
2023-06-03,3.41823,NM
2023-06-04,3.12939,NM
2023-06-05,3.01672,NM
2023-06-06,3.32331,NM
2023-06-07,2.59815,NM
2023-06-08,2.75998,NM
2023-06-09,2.56879,NM
2023-06-10,3.00512,NM
2023-06-11,2.72789,NM
2023-06-12,2.46227,NM
2023-06-13,2.08262,NM
2023-06-14,2.04848,NM
2023-06-15,2.02185,NM
2023-06-16,2.09832,NM
2023-06-17,2.78934,NM
2023-06-18,2.47115,NM
2023-06-19,2.1946,NM
2023-06-20,3.27893,NM
2023-06-21,2.33868,NM
2023-06-22,2.57562,NM
2023-06-23,2.3537,NM
2023-06-24,2.78115,NM
2023-06-25,2.71013,NM
2023-06-26,2.63024,NM
2023-06-27,2.47388,NM
2023-06-28,2.51485,NM
2023-06-29,2.79617,NM
2023-06-30,2.70672,NM
2023-01-02,4.00819,Twice
2023-01-03,4.127,Twice
2023-01-04,3.82929,Twice
2023-01-05,3.99248,Twice
2023-01-06,3.60942,Twice
2023-01-07,3.75281,Twice
2023-01-08,3.59235,Twice
2023-01-09,3.78422,Twice
2023-01-10,4.04916,Twice
2023-01-11,3.87094,Twice
2023-01-12,3.89962,Twice
2023-01-13,3.94742,Twice
2023-01-14,4.01229,Twice
2023-01-15,3.83748,Twice
2023-01-16,3.61488,Twice
2023-01-17,4.07306,Twice
2023-01-18,4.40286,Twice
2023-01-19,4.21372,Twice
2023-01-20,6.77978,Twice
2023-01-21,5.33151,Twice
2023-01-22,4.88494,Twice
2023-01-23,5.01604,Twice
2023-01-24,5.23728,Twice
2023-01-25,4.99419,Twice
2023-01-26,4.60976,Twice
2023-01-27,4.46432,Twice
2023-01-28,4.21645,Twice
2023-01-29,3.95425,Twice
2023-01-30,4.56879,Twice
2023-01-31,5.20996,Twice
2023-02-01,4.90337,Twice
2023-02-02,4.06623,Twice
2023-02-03,4.65892,Twice
2023-02-04,4.09696,Twice
2023-02-05,4.18914,Twice
2023-02-06,4.56128,Twice
2023-02-07,4.08125,Twice
2023-02-08,3.95493,Twice
2023-02-09,4.26015,Twice
2023-02-10,4.25469,Twice
2023-02-11,3.76101,Twice
2023-02-12,4.37692,Twice
2023-02-13,5.01604,Twice
2023-02-14,4.28064,Twice
2023-02-15,4.93615,Twice
2023-02-16,4.27108,Twice
2023-02-17,4.35916,Twice
2023-02-18,4.04233,Twice
2023-02-19,3.81973,Twice
2023-02-20,4.72106,Twice
2023-02-21,4.59405,Twice
2023-02-22,5.87367,Twice
2023-02-23,4.6637,Twice
2023-02-24,4.7074,Twice
2023-02-25,4.5804,Twice
2023-02-26,4.96551,Twice
2023-02-27,5.19972,Twice
2023-02-28,4.47866,Twice
2023-03-01,4.33936,Twice
2023-03-02,4.92591,Twice
2023-03-03,5.15124,Twice
2023-03-04,4.67804,Twice
2023-03-05,4.67531,Twice
2023-03-06,4.65619,Twice
2023-03-07,4.59064,Twice
2023-03-08,5.69067,Twice
2023-03-09,5.77739,Twice
2023-03-10,10.28747,Twice
2023-03-11,13.4708,Twice
2023-03-12,9.68521,Twice
2023-03-13,8.23898,Twice
2023-03-14,6.31478,Twice
2023-03-15,5.96722,Twice
2023-03-16,7.75554,Twice
2023-03-17,9.79037,Twice
2023-03-18,9.04882,Twice
2023-03-19,8.91703,Twice
2023-03-20,7.56299,Twice
2023-03-21,6.22465,Twice
2023-03-22,6.75862,Twice
2023-03-23,6.57903,Twice
2023-03-24,7.44554,Twice
2023-03-25,5.6818,Twice
2023-03-26,5.41276,Twice
2023-03-27,4.63707,Twice
2023-03-28,4.43086,Twice
2023-03-29,4.13929,Twice
2023-03-30,4.12768,Twice
2023-03-31,3.96176,Twice
2023-04-01,3.95356,Twice
2023-04-02,3.96517,Twice
2023-04-03,3.51451,Twice
2023-04-04,3.56913,Twice
2023-04-05,3.78559,Twice
2023-04-06,3.60054,Twice
2023-04-07,3.80266,Twice
2023-04-08,3.64083,Twice
2023-04-09,3.8805,Twice
2023-04-10,3.71662,Twice
2023-04-11,3.73506,Twice
2023-04-12,3.77671,Twice
2023-04-13,3.84909,Twice
2023-04-14,4.14202,Twice
2023-04-15,5.89074,Twice
2023-04-16,7.08296,Twice
2023-04-17,5.32195,Twice
2023-04-18,4.43496,Twice
2023-04-19,3.89347,Twice
2023-04-20,3.83817,Twice
2023-04-21,3.5664,Twice
2023-04-22,3.65926,Twice
2023-04-23,3.69067,Twice
2023-04-24,3.72004,Twice
2023-04-25,3.38886,Twice
2023-04-26,3.17855,Twice
2023-04-27,3.09935,Twice
2023-04-28,3.35745,Twice
2023-04-29,3.43188,Twice
2023-04-30,3.80266,Twice
2023-05-01,3.34585,Twice
2023-05-02,3.16831,Twice
2023-05-03,3.19836,Twice
2023-05-04,3.1567,Twice
2023-05-05,3.41686,Twice
2023-05-06,3.49539,Twice
2023-05-07,3.52884,Twice
2023-05-08,3.18129,Twice
2023-05-09,3.38818,Twice
2023-05-10,3.37111,Twice
2023-05-11,3.26459,Twice
2023-05-12,3.91942,Twice
2023-05-13,3.54387,Twice
2023-05-14,3.91532,Twice
2023-05-15,4.13656,Twice
2023-05-16,4.07169,Twice
2023-05-17,3.65995,Twice
2023-05-18,3.44281,Twice
2023-05-19,3.53431,Twice
2023-05-20,3.50426,Twice
2023-05-21,3.66746,Twice
2023-05-22,3.86548,Twice
2023-05-23,3.324,Twice
2023-05-24,2.85763,Twice
2023-05-25,2.8986,Twice
2023-05-26,2.96142,Twice
2023-05-27,3.28644,Twice
2023-05-28,3.26527,Twice
2023-05-29,3.31649,Twice
2023-05-30,3.05155,Twice
2023-05-31,3.39091,Twice
2023-06-01,3.15261,Twice
2023-06-02,2.90952,Twice
