video_title,video_id
🥊 유우나 왕! 하고 먹어버려 다🥊#ITZY #있지 #YUNA #유나 #ITZY_KILLMYDOUBT #ITZY_CAKE #CakeChallenge,IYSXQCYvEX4
🥊 령채 왕! 하고 먹어버려 다🥊#ITZY #있지 #CHAERYEONG #채령 #ITZY_KILLMYDOUBT #ITZY_CAKE #CakeChallenge,Vb1SdrHiVuM
🥊 륮땡의 왕! 하고 먹어버려 다🥊#ITZY #있지 #RYUJIN #류진 #ITZY_KILLMYDOUBT #ITZY_CAKE #CakeChallenge,EEYKMoPDxBY
🥊 랴의 왕! 하고 먹어버려 다🥊#ITZY #있지 #LIA #리아 #ITZY_KILLMYDOUBT #ITZY_CAKE #CakeChallenge,AMBXMp0HauY
🥊 옞덩의 왕! 하고 먹어버려 다🥊#ITZY #있지 #YEJI #예지 #ITZY_KILLMYDOUBT #ITZY_CAKE #CakeChallenge,d67sWpdcKQs
It's a piece of cake🍰 cake🍰 cake🍰 cake🍰 cake🍰#ITZY #있지 #ITZY_KILLMYDOUBT #ITZY_CAKE #CakeChallenge,Rreat21Tb24
"ITZY ""KILL MY DOUBT"" ALBUM DOCUMENTARY #3",3HjoLA0IcZ8
"ITZY ""CAKE"" Dance Practice (4K)",pccskexpmIE
#배스킨라빈스에서 ITZY의 #CAKEChallenge 를 만나보세요🍰 #ITZY #MIDZY #ITZY_CAKE #배라 #baskinrobbins,4yl23gqAoMg
"ITZY ""CAKE"" @ SHOWCASE",qG17qAvLNRI
"ITZY ""None of My Business"" @ SHOWCASE",LrtC4IQYaCg
"ITZY ""BET ON ME"" @ SHOWCASE",DxPNHmdEAUY
"ITZY ""Kill Shot"" @ SHOWCASE",PqAjjyZvPJc
🥊 맏막즈 왕! 하고 먹어버려 다🥊 #ITZY #YEJI #예지 #YUNA #유나 #ITZY_CAKE #CAKEChallenge,Tn_0qS-je20
🥊 륮땡 왕! 하고 먹어버려 다🥊 #ITZY #RYUJIN #류진 #ITZY_CAKE #CAKEChallenge,4BDfOZsykOs
CAKE TUTORIAL - MIRRORED VER. (1.0x) #ITZY #LIA #리아#ITZY_CAKE #CAKEChallenge,J9senN4dGpM
CAKE TUTORIAL - MIRRORED VER. (0.9x) #ITZY #CHAERYEONG #채령 #ITZY_CAKE #CAKEChallenge,oXSADRiez54
CAKE TUTORIAL - MIRRORED VER. (0.8x) #ITZY #YEJI #예지 #ITZY_CAKE #CAKEChallenge,FQC2ry6G7RM
"ITZY ""CAKE"" M/V Reaction Video",6IC_XRzyz6w
리무진서비스 대표 🐱 #이무진 선배님과 ITZY 대표 🐱 #예지 의 케익 한판 말기🍰🍰🍰🍰🍰 #ITZY #ITZY_CAKE #CAKEChallenge,GKsoIWh2pn8
"ITZY ""CAKE"" Stage Preview",p3Et7cXCMeU
가요광장 #이은지 선배님과 함께 CAKE🍰CAKE🍰CAKE🍰CAKE🍰CAKE🍰#CAKEChallenge #ITZY #ITZY_KILLMYDOUBT#ITZY_CAKE,n2sLODj8Qfo
“CAKE” Performance Video (📷Shorts Cam)#ITZY #있지 #ITZY_KILLMYDOUBT #ITZY_CAKE #CakeChallenge,d_PFhxLkY_k
"ITZY ""CAKE"" Performance Video (4K)",W4rs-76SgRA
ITZY “CAKE” Cheer Guide,-GhmTVCBYBk
