title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
"BOY STORY ""哈?! (What's Poppin)"" M/V Teaser",f4qNA5HHaR8,2023-04-27 00:00:00,10,130148,13488,-,474,JYP Entertainment|JYP|NCC|TME|BOYSTORY|HANYU|ZIAHO|XINLONG|MINGRUI|ZEYU|SHUYANG|涵予|梓豪|鑫隆|泽宇|明睿|书漾|IUWE|WE|REAL|GROWING|WW|howoldru|cantstop|jumpup|hanzup|enough|foru|ohmygosh|toobusy|if|energy|introboystory|change|cookinfoya|id|bittersweet|monster|beurself|promise|allaboutwe|hiphop|cpop|kpop|dance|performance|cover|bts|straykids|workingholiday|mv|teaser|china|chinese|idol|audition|qq|twice|itzy|nmixx|stage|kpopcover|bt21|b2world|최연소아이돌|방탄소년단|boygroup|如果|got7|wayv|tnt|txt|nct|newjeans|billboard,-,-,17
"YAOCHEN- ""YAOCHEN"" M/V Teaser",8oTtROJai6w,2023-04-27 00:00:00,10,32355,4434,-,169,JYP Entertainment|JYP,-,-,37
"Xdinary Heroes ""Freakin' Bad"" M/V",YSZSCQkUnx4,2023-04-26 00:00:00,10,17926564,280028,-,11847,JYP Entertainment|JYP,-,3,22
"Xdinary Heroes ""Freakin' Bad"" M/V Teaser 2",aU9V1CtPDk8,2023-04-21 00:00:00,10,197450,44241,-,1373,JYP Entertainment|JYP,-,-,31
"Xdinary Heroes ""Freakin' Bad"" M/V Teaser 1",QK2TI-W_2pU,2023-04-19 00:00:00,10,212626,44946,-,1578,JYP Entertainment|JYP,-,-,23
"NMIXX ""Love Me Like This"" M/V",EDnwWcFpObo,2023-03-20 00:00:00,10,71115280,922319,-,44933,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|expérgo|ep|ep1|#Love Me Like This,-,3,32
"NMIXX ""Love Me Like This"" M/V Teaser",sYd00KGZQJI,2023-03-17 00:00:00,10,1845359,182373,-,5458,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|expérgo|ep|ep1|#Love Me Like This,-,-,35
"NMIXX ""Young, Dumb, Stupid"" M/V",5eh6Vj_vVg4,2023-03-12 00:00:00,10,44091695,916567,-,48097,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|expérgo|ep|ep1|#Love Me Like This|Young Dumb Stupid|영덤|영덤스튜핏,-,3,49
"TWICE ""SET ME FREE"" M/V",w4cTYnOPdNk,2023-03-10 00:00:00,10,84441824,1889073,-,254077,JYP Entertainment|JYP|트와이스|TWICE|트와이스 레디 투 비|TWICE READY TO BE|트와이스 신곡|레디 투 비|READY TO BE|트와이스 셋 미 프리|TWICE SET ME FREE|TWICE 셋 미 프리|트와이스 SET ME FREE|트와이스 셋 미 프리 뮤비|set me free mv|트와이스 뮤비|TWICE SET ME FREE MV|TWICE MV|SET ME FREE MV|셋 미 프리 뮤비|셋 미 프리 뮤직비디오,-,3,32
"TWICE ""SET ME FREE"" M/V Teaser 2",CptbHRxmpTg,2023-03-07 00:00:00,10,2388082,251034,-,8621,JYP Entertainment|JYP|트와이스|TWICE|트와이스 레디 투 비|TWICE READY TO BE|트와이스 신곡|레디 투 비|READY TO BE|트와이스 셋 미 프리|TWICE SET ME FREE|TWICE 셋 미 프리|트와이스 SET ME FREE|트와이스 티저|SET ME FREE 티저|셋 미 프리 티저|트와이스 셋미프리 티저,-,-,19
"TWICE ""SET ME FREE"" M/V Teaser 1",oqAgQuJg1zo,2023-03-05 00:00:00,10,2187372,243890,-,9725,JYP Entertainment|JYP|트와이스|TWICE|트와이스 레디 투 비|TWICE READY TO BE|트와이스 신곡|레디 투 비|READY TO BE|트와이스 셋 미 프리|TWICE SET ME FREE|TWICE 셋 미 프리|트와이스 SET ME FREE|트와이스 티저|SET ME FREE 티저|셋 미 프리 티저|트와이스 셋미프리 티저,-,-,32
"TWICE Pre-release english track ""MOONLIGHT SUNRISE"" M/V",cKlEE_EYuNM,2023-01-20 00:00:00,10,99408065,2107048,-,291963,JYP Entertainment|JYP|TWICE|트와이스|MOONLIGHT SUNRISE|문라이트 썬라이즈|TWICE MOONLIGHT SUNRISE|트와이스 문라이트 썬라이즈|TWICE Pre-Release English Single|트와이스 영어 선공개곡|TWICE English Single|트와이스 영어곡|TWICE 컴백|TWICE 신곡|트와이스 컴백|트와이스 신곡|moonlightsunrise mv|moonlightsunrise music video|mlsr mv|mlsr music video|문라선라뮤비|문라선라 뮤직비디오|트와이스문라선라 뮤비|twice mlsr mv|twice mv|mlsr twice,-,3,24
"TWICE Pre-release english track ""MOONLIGHT SUNRISE"" M/V Teaser 2",rcNPgc7hPBI,2023-01-18 00:00:00,10,3964456,271399,-,10086,JYP Entertainment|JYP|TWICE|트와이스|MOONLIGHT SUNRISE|문라이트 썬라이즈|TWICE MOONLIGHT SUNRISE|트와이스 문라이트 썬라이즈|TWICE Pre-Release English Single|트와이스 영어 선공개곡|TWICE English Single|트와이스 영어곡|TWICE 컴백|TWICE 신곡|트와이스 컴백|트와이스 신곡|문라이트 선라이즈 티저|Moonlight Sunrise Teaser|문라선라 티저|트와이스 티저|트와이스 신곡 티저,-,-,10
"TWICE Pre-release english track ""MOONLIGHT SUNRISE"" M/V Teaser 1",2P997RmZRU4,2023-01-17 00:00:00,10,3413012,264898,-,12994,JYP Entertainment|JYP|TWICE|트와이스|MOONLIGHT SUNRISE|문라이트 썬라이즈|TWICE MOONLIGHT SUNRISE|트와이스 문라이트 썬라이즈|TWICE Pre-Release English Single|트와이스 영어 선공개곡|TWICE English Single|트와이스 영어곡|TWICE 컴백|TWICE 신곡|트와이스 컴백|트와이스 신곡,-,-,18
