title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
[T-MI] 최최강이 들려주는 일본 콘셉트 포토 촬영 비하인드 📸 (feat. 단짝즈 만 나이) – TXT (투모로우바이투게더),B5l78Ujahnc,2023-06-10 00:00:00,10,93470,14653,-,299,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,4,11
[T:TIME] Daily TXT #13 BEOMGYU in Belmont Park,uJMvc97rBK4,2023-06-09 00:00:00,10,92925,17588,-,439,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,2,4
[T:TIME] Green Room Raid! MISSION TIME #YEONJUN in Nagoya,rsVGFg8t9cY,2023-06-07 00:00:00,10,150682,22989,-,438,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,2,9
TXT (투모로우바이투게더) WORLD TOUR 〈ACT : LOVE SICK〉 IN SEOUL Highlight #HUENINGKAI Ver.,8L50V65sOGM,2023-06-07 00:00:00,10,82056,23375,-,213,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,42
TXT (투모로우바이투게더) WORLD TOUR 〈ACT : LOVE SICK〉 IN SEOUL Highlight #TAEHYUN Ver.,ZJcz4RyMfUE,2023-06-07 00:00:00,10,66045,21870,-,167,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,42
TXT (투모로우바이투게더) WORLD TOUR 〈ACT : LOVE SICK〉 IN SEOUL Highlight #BEOMGYU Ver.,WY8QPfhtIe8,2023-06-07 00:00:00,10,62436,23239,-,185,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,42
TXT (투모로우바이투게더) WORLD TOUR 〈ACT : LOVE SICK〉 IN SEOUL Highlight #YEONJUN Ver.,ybJEMrhePwE,2023-06-07 00:00:00,10,72620,23625,-,184,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,42
TXT (투모로우바이투게더) WORLD TOUR 〈ACT : LOVE SICK〉 IN SEOUL Highlight #SOOBIN Ver.,Oefs4JnPwm4,2023-06-07 00:00:00,10,53233,21549,-,149,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,42
척 하면 척! 스무스하게 게임하는 브레인바이투게더 👑 #shorts #투모로우바이투게더 #TOMORROW_X_TOGETHER #TXT #TODO,cfAfxf1bBlA,2023-06-06 00:00:00,10,50455,15330,-,93,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,34
TO DO X TXT - EP.111 Boys Leaping Through Time ~Walkie-Talkie Trip~ Part 2,BMjUn8EL3Mg,2023-06-05 00:00:00,10,535597,46134,-,1527,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,28,53
[T:TIME] Green Room Raid! MISSION TIME #BEOMGYU in Nagoya,XdsI4E7sVH0,2023-06-04 00:00:00,10,111786,20088,-,544,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,34
[T-MI] 휴닝카이 용용체에 대한 껌딱지즈의 고찰🤔 – TXT (투모로우바이투게더),ZcheMbo5_Lw,2023-06-03 00:00:00,10,70529,11281,-,351,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,3,4
