DATE,Open,High,Low,Close,Volume,Change,MACD,Signal,PSAR,upper,middle,lower,SlowK,SlowD,ROC,OBV,FI,keyword,view_log_like_sum,view_log_like_avg,count,trend,DAY,SENTIMENT,EVENT
2023-02-20,51200.0,53400.0,50800.0,53200.0,449489.0,0.0472440944881888,936.2909813778388,1168.8554908109447,54084.140704,53645.45174576077,51985.0,50324.54825423923,44.567375886524864,36.855791962175005,2.9013539651837617,3075607.0,1078773600.0,38.87516,0.0,0.0,0.0,3.6050891705332617,월,102.5881190903333,
2023-02-21,52800.0,54200.0,52000.0,53900.0,340805.0,0.013157894736842,1016.1566944369188,1138.3157315361395,50300.0,53942.17527444234,52085.0,50227.82472555766,51.43262411347522,41.3333333333334,2.083333333333326,3416412.0,238563500.0,37.97569,0.0,0.0,0.0,3.636946218165352,화,-47.99524,
2023-02-22,53000.0,55400.0,53000.0,54500.0,571923.0,0.0111317254174396,1115.0126611420492,1133.6551174573217,50378.0,54323.39526024463,52260.0,50196.60473975537,73.55027117229876,56.516757057432976,4.4061302681992265,3988335.0,343153800.0,40.04855,0.0,0.0,0.0,3.690092468114891,수,-192.207151943,
2023-02-23,54800.0,55000.0,53700.0,54800.0,346688.0,0.0055045871559633,1203.6888440461553,1147.661862775088,50578.88,54696.85191303976,52455.0,50213.148086960246,82.39465999165628,69.12585175914344,4.980842911877392,4335023.0,104006400.0,43.7824,0.0,0.0,0.0,3.779231910144487,목,124.74386762,
2023-02-24,54300.0,54500.0,52700.0,53100.0,350534.0,-0.031021897810219,1123.8346985260505,1142.8964299252807,50771.7248,54748.842812848285,52535.0,50321.15718715172,75.1633986928105,77.03610995225522,-0.3752345215759844,3984489.0,-595907800.0,40.24281,0.0,0.0,0.0,3.694931354367328,금,882.6961178614999,-33.139607
2023-02-27,53100.0,54600.0,52800.0,53900.0,294718.0,0.015065913370998,1112.2813400869272,1136.77341195761,50956.85580799999,54829.06521639711,52690.0,50550.93478360289,71.24183006535954,76.26662958327546,1.3157894736842035,4279207.0,235774400.0,35.42882,0.0,0.0,0.0,3.573552110930842,월,90.36966408400001,28.562796191
2023-02-28,54200.0,58100.0,53900.0,58000.0,1009174.0,0.0760667903525047,1417.6195197703855,1192.9426335201651,51134.58157567999,56112.35464777429,52995.0,49877.64535222571,74.73604826546008,73.71375900787673,10.2661596958175,5288381.0,4137613400.0,39.0636,0.0,0.0,0.0,3.665191087100135,화,74.895929882,
2023-03-02,58000.0,58900.0,57400.0,57500.0,420985.0,-0.0086206896551723,1600.8033412344012,1274.5147750630124,51552.5066811392,56913.67945900843,53270.0,49626.32054099157,84.34237141487489,76.77341658189819,10.576923076923084,4867396.0,-210492500.0,33.396775,0.0,0.0,0.0,3.5064746981554444,목,7.730573109749997,
2023-03-03,57700.0,58700.0,56200.0,57100.0,364172.0,-0.0069565217391304,1694.1718242476927,1358.4461848999483,52140.30614664806,57467.54376169127,53540.0,49612.45623830873,87.16954879745583,82.08265615926364,9.177820267686432,4503224.0,-145668800.0,33.5852,0.0,0.0,0.0,3.514085493740549,금,77.94453124239999,
2023-03-06,56800.0,58000.0,56000.0,57200.0,373402.0,0.0017513134851139,1755.9941761897644,1437.9557831579118,52681.08165491621,57979.19423587016,53760.0,49540.80576412984,81.00775193798455,84.17322405010512,13.043478260869556,4876626.0,37340200.0,36.33024,0.0,0.0,0.0,3.6650890452743154,월,79.33497163366667,
2023-03-07,58300.0,60700.0,57600.0,59500.0,932319.0,0.0402097902097902,1967.8949456464836,1543.9436156556262,53178.59512252292,58959.40792652006,54125.0,49290.59207347994,82.58795468097799,83.58841847213948,12.689393939393945,5808945.0,2144333700.0,39.25204,0.0,0.0,0.0,3.670003417400082,화,151.831864114,0.008667292
2023-03-08,59900.0,62400.0,59800.0,60300.0,737212.0,0.0134453781512604,2175.3055776066394,1670.2160080458289,53930.73561027063,59970.624964101095,54530.0,49089.375035898905,83.68234592584804,82.42601751493689,18.700787401574797,6546157.0,589769600.0,39.08885,0.0,0.0,0.0,3.665837260083287,수,94.839212687,
2023-03-09,60400.0,60400.0,57900.0,58400.0,425873.0,-0.0315091210613598,2161.450026263657,1768.4628116893946,54947.04733703815,60444.77914763465,54785.0,49125.22085236535,79.06701141995266,81.77910400892625,9.774436090225567,6120284.0,-809158700.0,44.00581,0.0,0.0,0.0,3.7843216706555727,목,-99.96000951650001,
2023-03-10,57500.0,59500.0,57200.0,57500.0,340292.0,-0.0154109589041095,2054.1677563936464,1825.603800630245,55841.40165659357,60728.87423496101,55000.0,49271.125765039,68.83270549599156,77.19402094726411,6.679035250463827,5779992.0,-306262800.0,31.06749,0.0,0.0,0.0,3.4361619348181827,금,408.8185211619,
2023-03-13,56300.0,56700.0,53400.0,54600.0,716318.0,-0.0504347826086956,1715.3663454539635,1803.5563095949888,62400.0,60726.72195865408,55100.0,49473.27804134592,49.71505843716803,65.87159178437078,0.1834862385321045,5063674.0,-2077322200.0,35.81542,0.0,0.0,0.0,3.592542020961394,월,50.58891626133333,
