Date,Open,High,Low,Close,Volume,Change,MACD,Signal,PSAR,upper,middle,lower,SlowK,SlowD,ROC,OBV,FI
2023-02-01,87700,88000,86100,86700,410616,-0.01477272727272727,2459.9462204448937,1310.1186958111239,77298.73424250817,87121.33446385482,78325.0,69528.66553614518,90.32369796586687,86.30762714084698,11.583011583011583,8248259.0,-533800800.0
2023-02-02,86900,89900,86100,89100,683339,0.02768166089965396,2868.39638153369,1621.7742329556372,78438.86081825735,88866.17514424515,78920.0,68973.82485575485,92.73517001737405,90.72520621422031,18.01324503311259,8931598.0,1640013600.0
2023-02-03,89900,95900,88100,91000,2363145,0.021324354657688005,3307.285865218262,1958.8765594081622,79814.19752006647,90793.66365422553,79710.0,68626.33634577447,87.11051399095687,90.05646065806593,22.14765100671141,11294743.0,4489975500.0
2023-02-06,90500,93900,89600,92200,646786,0.01318681318681314,3709.181775623918,2308.9376026513132,82066.20986725717,92651.55591614626,80600.0,68548.44408385374,85.9676044330776,88.6044294804695,25.61307901907357,11941529.0,776143200.0
2023-02-07,93000,99700,85700,90100,3863446,-0.022776572668112838,3814.2662435984385,2610.0033308407383,84002.94048584117,93726.15199646383,81410.0,69093.84800353617,75.59593337659528,82.89135060020992,21.59244264507423,8078083.0,-8113236600.0
2023-02-08,95000,99800,92100,98700,3644350,0.09544950055493895,4539.169843936339,2995.8366334598586,85700.0,96715.78161399646,82530.0,68344.21838600354,81.3343095416726,80.96594911711516,28.515625,11722433.0,31341410000.0
2023-02-09,100000,103300,95700,98500,3078346,-0.0020263424518743856,5039.431412931139,3404.5555893541145,85700.0,99020.60394361726,83725.0,68429.39605638274,81.36329504891897,79.43117932239562,18.53188929001204,8644087.0,-615669200.0
2023-02-10,115200,117000,107300,114700,8882805,0.1644670050761421,6666.252512138672,4056.8949739110258,89220.0,105674.58571712858,85610.0,65545.41428287142,91.41058944115532,84.70273134391563,42.307692307692314,17526892.0,143901441000.0
2023-02-13,115000,118300,114500,116000,3271133,0.011333914559721103,7968.562461521913,4839.228471433204,94776.0,111191.75938948973,87525.0,63858.24061051027,90.79771753425821,87.8572006747775,44.458281444582816,20798025.0,4252472900.0
2023-02-14,116700,119100,116100,116800,2116337,0.006896551724137945,8961.898604639588,5663.76249807448,99480.8,115772.88754129308,89590.0,63407.11245870693,94.1950239315646,92.13444363565937,41.57575757575758,22914362.0,1693069600.0
2023-02-15,118700,127900,117600,122600,4502599,0.04965753424657526,10100.701581673216,6551.150314794228,103404.64,120887.86936252611,91995.0,63102.13063747389,92.36872980117691,92.45382375566658,44.7461629279811,27416961.0,26115074200.0
2023-02-16,124900,133600,120700,131900,4440720,0.07585644371941269,11619.698767877082,7564.860005410798,108303.712,127322.19745634546,94920.0,62517.80254365454,93.2379039850257,93.26721923925574,49.886363636363626,31857681.0,41298696000.0
